[2023-04-09 21:03:25,954][__main__][INFO] - Training for 50000 timesteps with DuelingQNetwork and NormalReplayBuffer
[2023-04-09 21:03:34,347][core][INFO] - Step: 2000, Eval mean: 226.0, Eval std: 42.757455490241696
[2023-04-09 21:03:42,071][core][INFO] - Step: 4000, Eval mean: 106.6, Eval std: 3.49857113690718
[2023-04-09 21:03:49,855][core][INFO] - Step: 6000, Eval mean: 111.5, Eval std: 3.1064449134018135
[2023-04-09 21:03:57,905][core][INFO] - Step: 8000, Eval mean: 96.8, Eval std: 2.821347195933177
[2023-04-09 21:04:06,132][core][INFO] - Step: 10000, Eval mean: 112.4, Eval std: 4.476605857119878
[2023-04-09 21:04:14,553][core][INFO] - Step: 12000, Eval mean: 133.2, Eval std: 6.64529909033446
[2023-04-09 21:04:24,555][core][INFO] - Step: 14000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:04:33,236][core][INFO] - Step: 16000, Eval mean: 110.8, Eval std: 4.770744176750625
[2023-04-09 21:04:44,170][core][INFO] - Step: 18000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:04:55,499][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:05:05,239][core][INFO] - Step: 22000, Eval mean: 168.7, Eval std: 6.1
[2023-04-09 21:05:15,994][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:05:25,684][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:05:36,305][core][INFO] - Step: 28000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:05:47,085][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:05:58,051][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:06:08,897][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:06:19,676][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:06:30,178][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:06:39,611][core][INFO] - Step: 40000, Eval mean: 120.6, Eval std: 6.102458520956943
[2023-04-09 21:06:50,567][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:07:01,591][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:07:13,386][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:07:25,056][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:07:36,544][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:08:01,547][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2023-04-09 21:08:09,649][__main__][INFO] - Finish training with eval mean: 500.0
