[2023-05-06 22:52:04,371][__main__][INFO] - Training seed 0 for 200000 timesteps with DDPGAgent and NormalReplayBuffer
[2023-05-06 22:52:39,863][core][INFO] - Seed: 0, Step: 5000, Eval mean: -115.7594223022461, Eval std: 5.368966376022435
[2023-05-06 22:53:33,958][core][INFO] - Seed: 0, Step: 10000, Eval mean: -116.79864501953125, Eval std: 24.72145588015543
[2023-05-06 22:54:33,826][core][INFO] - Seed: 0, Step: 15000, Eval mean: -45.73397808074951, Eval std: 20.011542106405606
[2023-05-06 22:55:32,473][core][INFO] - Seed: 0, Step: 20000, Eval mean: -35.64639717936516, Eval std: 20.235350784814514
[2023-05-06 22:56:30,139][core][INFO] - Seed: 0, Step: 25000, Eval mean: -32.63840208053589, Eval std: 20.564117242313937
[2023-05-06 22:57:28,658][core][INFO] - Seed: 0, Step: 30000, Eval mean: -22.463959312438966, Eval std: 20.58218110805846
[2023-05-06 22:58:25,271][core][INFO] - Seed: 0, Step: 35000, Eval mean: -12.910529327392577, Eval std: 20.85664604024899
[2023-05-06 22:59:24,346][core][INFO] - Seed: 0, Step: 40000, Eval mean: -15.46704168319702, Eval std: 21.10507527395468
[2023-05-06 23:00:22,208][core][INFO] - Seed: 0, Step: 45000, Eval mean: -23.494227933883668, Eval std: 20.704188227400437
[2023-05-06 23:01:16,087][core][INFO] - Seed: 0, Step: 50000, Eval mean: 6.592910957336426, Eval std: 71.07378956374234
[2023-05-06 23:02:13,300][core][INFO] - Seed: 0, Step: 55000, Eval mean: -22.50234785079956, Eval std: 16.118315389032038
[2023-05-06 23:03:08,993][core][INFO] - Seed: 0, Step: 60000, Eval mean: -22.70025520324707, Eval std: 21.590720560825975
[2023-05-06 23:04:07,871][core][INFO] - Seed: 0, Step: 65000, Eval mean: -21.547700691223145, Eval std: 23.093299956046735
[2023-05-06 23:05:02,914][core][INFO] - Seed: 0, Step: 70000, Eval mean: -117.95828437805176, Eval std: 73.11503850380394
[2023-05-06 23:05:55,295][core][INFO] - Seed: 0, Step: 75000, Eval mean: -24.771206283569335, Eval std: 23.195797811887136
[2023-05-06 23:06:49,983][core][INFO] - Seed: 0, Step: 80000, Eval mean: -41.117421340942386, Eval std: 15.80970487630844
[2023-05-06 23:07:42,992][core][INFO] - Seed: 0, Step: 85000, Eval mean: -11.918481826782227, Eval std: 35.800256837225106
[2023-05-06 23:08:34,853][core][INFO] - Seed: 0, Step: 90000, Eval mean: 103.35433294773102, Eval std: 66.21910963189777
[2023-05-06 23:09:27,948][core][INFO] - Seed: 0, Step: 95000, Eval mean: 41.000379943847655, Eval std: 136.75874110991668
[2023-05-06 23:10:21,165][core][INFO] - Seed: 0, Step: 100000, Eval mean: 87.24452896118164, Eval std: 77.23975219556196
[2023-05-06 23:11:14,558][core][INFO] - Seed: 0, Step: 105000, Eval mean: 58.42903099060059, Eval std: 41.62779254645499
[2023-05-06 23:12:06,971][core][INFO] - Seed: 0, Step: 110000, Eval mean: 135.67372131347656, Eval std: 72.18106666076513
[2023-05-06 23:12:57,932][core][INFO] - Seed: 0, Step: 115000, Eval mean: 158.4639465332031, Eval std: 66.86718163589673
[2023-05-06 23:13:50,241][core][INFO] - Seed: 0, Step: 120000, Eval mean: 84.54482955932617, Eval std: 43.69699951398334
[2023-05-06 23:14:40,789][core][INFO] - Seed: 0, Step: 125000, Eval mean: 96.97299041748047, Eval std: 78.62607717542312
[2023-05-06 23:15:34,224][core][INFO] - Seed: 0, Step: 130000, Eval mean: 151.49957122802735, Eval std: 61.51949851749003
[2023-05-06 23:16:23,941][core][INFO] - Seed: 0, Step: 135000, Eval mean: 177.285498046875, Eval std: 65.54676531948881
[2023-05-06 23:17:16,091][core][INFO] - Seed: 0, Step: 140000, Eval mean: 147.58914031982422, Eval std: 63.82030959443409
[2023-05-06 23:18:13,855][core][INFO] - Seed: 0, Step: 145000, Eval mean: 83.07201538085937, Eval std: 27.265379877446872
[2023-05-06 23:19:06,777][core][INFO] - Seed: 0, Step: 150000, Eval mean: 133.47405395507812, Eval std: 56.45879701221102
[2023-05-06 23:19:58,516][core][INFO] - Seed: 0, Step: 155000, Eval mean: 166.0802993774414, Eval std: 62.87038529238982
[2023-05-06 23:20:42,754][core][INFO] - Seed: 0, Step: 160000, Eval mean: 203.87663879394532, Eval std: 34.305920477919315
[2023-05-06 23:21:31,815][core][INFO] - Seed: 0, Step: 165000, Eval mean: 199.97635192871093, Eval std: 26.48948816625119
[2023-05-06 23:22:21,272][core][INFO] - Seed: 0, Step: 170000, Eval mean: 142.37637214660646, Eval std: 62.98774080886317
[2023-05-06 23:23:16,572][core][INFO] - Seed: 0, Step: 175000, Eval mean: 21.85837721824646, Eval std: 89.97881193688747
[2023-05-06 23:24:05,581][core][INFO] - Seed: 0, Step: 180000, Eval mean: 181.98987731933593, Eval std: 31.17912223724063
[2023-05-06 23:24:47,969][core][INFO] - Seed: 0, Step: 185000, Eval mean: 251.33206176757812, Eval std: 25.1701640258324
[2023-05-06 23:25:28,984][core][INFO] - Seed: 0, Step: 190000, Eval mean: 248.8098907470703, Eval std: 12.351241447265211
[2023-05-06 23:26:10,760][core][INFO] - Seed: 0, Step: 195000, Eval mean: 239.86572875976563, Eval std: 12.890044455744102
[2023-05-06 23:26:52,367][core][INFO] - Seed: 0, Step: 200000, Eval mean: 246.23810729980468, Eval std: 17.872143595531547
