[2023-05-06 23:56:01,021][__main__][INFO] - Training seed 0 for 200000 timesteps with TD3Agent and NormalReplayBuffer
[2023-05-06 23:56:49,139][core][INFO] - Seed: 0, Step: 5000, Eval mean: -149.29740295410156, Eval std: 13.484063411681475
[2023-05-06 23:57:31,482][core][INFO] - Seed: 0, Step: 10000, Eval mean: -155.0755874633789, Eval std: 48.084190401962694
[2023-05-06 23:58:23,216][core][INFO] - Seed: 0, Step: 15000, Eval mean: -36.26812410354614, Eval std: 20.05098047769576
[2023-05-06 23:59:06,783][core][INFO] - Seed: 0, Step: 20000, Eval mean: -204.15429077148437, Eval std: 27.968023339556353
[2023-05-06 23:59:47,532][core][INFO] - Seed: 0, Step: 25000, Eval mean: -151.98843383789062, Eval std: 17.2858499847763
[2023-05-07 00:00:38,380][core][INFO] - Seed: 0, Step: 30000, Eval mean: -64.40216293334962, Eval std: 4.347734552896465
[2023-05-07 00:01:30,952][core][INFO] - Seed: 0, Step: 35000, Eval mean: -71.15904903411865, Eval std: 48.660997236979405
[2023-05-07 00:02:18,738][core][INFO] - Seed: 0, Step: 40000, Eval mean: -103.680837059021, Eval std: 47.317797456087625
[2023-05-07 00:03:09,725][core][INFO] - Seed: 0, Step: 45000, Eval mean: -104.11406373977661, Eval std: 51.93633223714007
[2023-05-07 00:03:59,418][core][INFO] - Seed: 0, Step: 50000, Eval mean: -66.09292640686036, Eval std: 45.51897868680472
[2023-05-07 00:04:52,363][core][INFO] - Seed: 0, Step: 55000, Eval mean: -14.585765075683593, Eval std: 114.42679715728698
[2023-05-07 00:05:42,499][core][INFO] - Seed: 0, Step: 60000, Eval mean: -4.935404968261719, Eval std: 94.03492215257418
[2023-05-07 00:06:31,339][core][INFO] - Seed: 0, Step: 65000, Eval mean: -1.0251777648925782, Eval std: 95.9682488462416
[2023-05-07 00:07:22,810][core][INFO] - Seed: 0, Step: 70000, Eval mean: -11.361348724365234, Eval std: 104.16338387396164
[2023-05-07 00:08:12,321][core][INFO] - Seed: 0, Step: 75000, Eval mean: -8.301101684570312, Eval std: 97.25025130347957
[2023-05-07 00:09:03,768][core][INFO] - Seed: 0, Step: 80000, Eval mean: 8.100505447387695, Eval std: 95.00890511432407
[2023-05-07 00:09:52,625][core][INFO] - Seed: 0, Step: 85000, Eval mean: -24.56333999633789, Eval std: 116.03247637812942
